Number	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	Identifier		C. Width		Tot. Cracks 			L. Average	Slope	Tilt	Ang. Dist.						Max Strain	G. Average
42	3220.940706	0.324800054	0.007337235	15.45450464	42.44573615	8.723624785	0.402303834	191.4434718	0.133583265	26.05957743	0.123080611	3.871386011	71.01324341	16.55352561	8.7977357	42	3	6.2697	-3632.9599	3	0	41.45895407	4.63485	0.000549	0.00049	0.0002	-3.00E-06	0.001222	0.001222	3.20E-05	0.001222	0.001222	0.00061525
43	2621.14428	0.378152481	0.014291647	10.45750069	54.09477136	12.98008469	15.69497285	27.1532952	0.301611219	25.70185369	0.257237757	0.442463223	77.77450993	10.48475725	4.311173048	43	0	0	0	0	0	0	0	0.000114	0.00012	1.00E-05	3.00E-06	1.80E-05	1.80E-05	1.00E-05	1.50E-05	1.80E-05	6.55E-05
44	950.8831253	0.154310685	0.004995737	7.103527295	13.84176817	15.79273439	12.83600049	61.51187412	0.156317287	23.29306857	0.535647638	2.135498301	50.32358021	5.610300406	1.737617773	44	0	0	0	0	0	0	0	0.000203	0.000199	3.60E-05	6.00E-06	2.80E-05	5.70E-05	-5.20E-05	2.30E-05	2.80E-05	0.0001165
45	1094.915721	0.192014258	0.009503794	10.02228178	22.32253681	7.133917692	27.1941593	32.38456196	0.172304625	31.03139819	0.164051307	4.893633017	52.44229521	10.57362305	1.793644959	45	0	0	0	0	0	0	0	0.001063	0.001057	3.70E-05	8.00E-06	3.70E-05	4.80E-05	3.70E-05	3.10E-05	3.70E-05	0.0005485
46	5278.309114	0.859602907	0.028080311	6.47589277	35.4622372	4.813306764	26.3825298	205.9924339	0.457355282	17.01891332	0.031852613	3.681061552	51.53280695	13.07908056	9.701681934	46	3	6.2521	3274.485	4	0	59.24062801	5.12605	0.003928	0.003909	0.00049	0.001332	0	0.001363	0.000287	0.001332	0.001332	0.00241475
47	3160.326899	0.516732013	0.016356156	9.903255712	19.64701111	8.390166941	10.37874255	14.47083726	0.437376121	39.22499346	0.449043463	0.476131934	63.63175957	11.34656773	7.597288962	47	0	0	0	0	0	0	0	4.30E-05	3.80E-05	2.00E-05	3.00E-06	1.20E-05	3.00E-05	-2.80E-05	1.10E-05	1.20E-05	2.83E-05
48	7071.801052	0.969053816	0.027181448	11.90831698	30.02528418	15.36883778	6.066782832	22.35477898	0.206259138	13.57240428	0.577033464	3.10907497	22.0688776	5.974730711	21.4022744	48	0	0	0	0	0	0	0	0.000546	0.000546	6.00E-06	0	8.00E-06	8.00E-06	6.00E-06	5.00E-06	8.00E-06	0.0002765
49	5438.528639	0.573443915	0.019300036	13.44653062	54.89763789	22.1345452	5.828983374	219.2107664	0.466203979	16.89700885	0.447907241	4.829040329	56.30108014	10.13196393	14.28032751	49	14	14.7451	-6523.1283	14	0	38.14117152	14.37255	0.002951	0.002893	0.001031	-3.00E-06	0.003043	0.003047	0.000166	0.003043	0.003043	0.0024795
50	4894.791569	0.702209601	0.025377894	9.995639471	18.72196601	24.86671318	31.41092847	150.9584597	0.444473169	30.95431063	0.091311152	3.053537042	82.32901119	12.51748048	9.228034722	50	0	0	0	0	0	0	0	0.000937	0.000935	1.10E-05	1.00E-06	6.00E-06	1.20E-05	1.10E-05	4.00E-06	6.00E-06	0.00047225
51	3719.550986	0.577288857	0.019434493	15.40349893	41.44966806	18.2933738	25.96518261	200.8838116	0.127546934	20.96660249	0.376116195	0.607854658	34.92089439	16.56060567	11.56070886	51	0	0	0	0	0	0	0	0.00061	0.000597	1.80E-05	1.40E-05	1.20E-05	2.80E-05	-2.60E-05	1.00E-05	1.40E-05	0.00030975
52	2409.953379	0.45197753	0.015319785	19.17264589	54.74943027	13.6008637	15.00409426	38.78301094	0.359127971	24.77701101	0.414120409	2.113415436	87.35993805	6.914012779	7.160096568	52	0	0	0	0	0	0	0	0.000209	0.000223	1.80E-05	2.00E-06	3.40E-05	3.40E-05	-4.00E-06	3.40E-05	3.40E-05	0.000121
53	3541.466418	0.380041063	0.010507049	11.33646384	50.07588773	26.08892719	0.856319432	31.22320099	0.402383576	23.61470937	0.514909307	0.223038146	75.39849501	5.280524292	6.780447936	53	0	0	0	0	0	0	0	7.00E-06	1.50E-05	9.00E-06	2.00E-06	9.00E-06	1.20E-05	9.00E-06	8.00E-06	9.00E-06	1.00E-05
54	3674.305097	0.399165921	0.011442587	6.308969259	31.53391849	21.74395145	23.4765059	181.6014436	0.164892138	39.89994019	0.302069916	4.870968205	77.66233688	13.31858505	7.247505021	54	0	0	0	0	0	0	0	0.000937	0.000907	4.60E-05	-2.00E-06	4.00E-05	5.50E-05	-4.80E-05	2.70E-05	4.00E-05	0.0004825
55	8810.594243	0.981190804	0.022602096	11.91891116	48.99903371	26.57404361	16.36861271	166.1897632	0.138099719	16.83776997	0.243803684	1.395649076	52.91923241	11.12401435	16.02706624	55	0	0	0	0	0	0	0	0.000806	0.000784	3.90E-05	0	3.00E-05	6.30E-05	-6.30E-05	1.10E-05	3.00E-05	0.00041475
56	4647.80752	0.591458128	0.028769921	17.90236015	35.29900897	15.12160386	1.832856631	119.7470828	0.449454847	24.24584523	0.39360089	2.097927251	62.15916176	14.43686373	8.349085176	56	0	0	0	0	0	0	0	0.000238	0.000177	6.90E-05	-1.00E-06	5.50E-05	7.90E-05	-7.30E-05	3.20E-05	5.50E-05	0.00013475
57	2340.2602	0.559607492	0.024830412	15.73501766	19.22545805	27.09653373	13.3984228	74.92634394	0.406647977	15.76258172	0.570949051	1.435277	31.60134825	6.440454325	4.373402853	57	0	0	0	0	0	0	0	0.000413	0.000409	2.60E-05	1.00E-06	2.20E-05	3.10E-05	2.60E-05	1.60E-05	2.20E-05	0.0002175
58	1424.749678	0.236567748	0.011267325	9.306333659	38.9798336	23.78703967	13.07972002	238.2364196	0.460113382	9.538721618	0.322310643	1.281596794	27.62205854	7.990009143	2.28531127	58	2	5.3116	-9579.8553	4	0	25.45371959	4.6558	0.001366	0.001134	0.000441	0.000642	0.001345	0.001373	0.000277	0.001345	0.001345	0.0010715
59	5083.048088	0.736322237	0.026841233	13.03006335	15.899228	9.36197965	8.853772179	130.3760618	0.46425853	6.814509656	0.131010575	1.178747818	17.13114903	6.17770015	9.606820792	60	0	0	0	0	0	0	0	0.001405	0.001397	1.60E-05	1.00E-06	1.00E-05	2.10E-05	-1.90E-05	9.00E-06	1.00E-05	0.000707
60	1921.251886	0.452543095	0.020007298	19.47254161	9.682773206	17.22495292	19.73401163	228.0159601	0.378359017	22.26119755	0.166021144	4.710912226	67.12960942	8.427191396	3.367902627	61	0	0	0	0	0	0	0	0.001275	0.001262	2.70E-05	-1.00E-06	3.50E-05	4.20E-05	-2.90E-05	3.00E-05	3.50E-05	0.00064975
61	3251.874378	0.460493634	0.020443268	13.29160595	45.91825441	21.79111001	3.300973232	226.8228254	0.299902638	25.90347924	0.579770327	4.866635348	42.54169452	10.76429869	5.309827091	62	2	7.9897	-2055.3117	2	0	45.5148635	4.99485	0.000927	0.000843	0.000248	-8.00E-06	0.001419	0.00142	-5.00E-05	0.001419	0.001419	0.00085925
