Tot No. Simulations	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	LTSM	Crack Width	C. Numbers	Max Slope	Max Tilt	Ang. Dis.	Max H. Strain	Dam. Area (%)	Strain (100%)	Strain (99%)	Strain (98%)	Strain (97%)	Strain (96%)	Strain (95%)	Local Avg.	Global Avg.
741	6680.364	0.670	0.030	3.394	37.500	4.852	28.864	193.976	0.294	13.134	0.030	2.983	41.891	10.284	11.519	0.00031	4.75	7	0.00305	0.00302	0.000204	0.001097	2.73	0.026478	0.004325	0.000629	0.000072	0.000055	0.00005	5.8742	1.84E-03
742	3659.786	0.685	0.029	10.052	44.955	27.895	10.249	218.214	0.101	14.460	0.319	2.895	39.193	14.530	11.228	0.00456	10.00	6	0.00431	0.00421	0.00071	0.002106	5.67	0.04143	0.009278	0.004533	0.002222	0.001128	0.000465	8.00115	2.83E-03
743	4024.891	0.558	0.014	11.445	36.939	10.722	8.084	248.177	0.300	10.611	0.012	2.646	29.362	10.694	7.004	0.00417	9.56	4	0.00318	0.00310	0.000497	0.002107	3.64	0.049687	0.007223	0.001732	0.000447	0.000073	0.000063	6.7775	2.22E-03
744	6986.292	0.715	0.014	13.685	39.801	8.563	17.439	145.234	0.465	20.590	0.230	4.462	69.100	11.305	12.323	0.00138	3.08	1	0.00218	0.00216	0.000109	0.000641	0.79	0.017407	0.000041	0.000033	0.00003	0.000028	0.000026	2.0398	1.27E-03
745	3230.990	0.405	0.015	13.314	42.159	0.671	12.348	128.377	0.337	15.144	0.214	3.118	29.921	12.641	8.831	0.00392	13.15	2	0.00292	0.00289	0.000258	0.002546	0.53	0.074966	0.000068	0.00006	0.000055	0.000052	0.000049	7.5733	2.15E-03
746	8274.747	0.851	0.029	5.595	40.972	2.597	14.432	243.957	0.327	22.135	0.281	4.156	52.969	13.559	16.132	0.00200	8.47	5	0.00286	0.00285	0.00056	0.001673	0.97	0.048242	0.000058	0.000048	0.000042	0.000037	0.000033	6.7366	1.98E-03
747	913.609	0.111	0.005	6.527	44.353	23.764	13.703	173.282	0.143	14.065	0.317	2.207	51.639	14.359	2.443	0.00286	5.96	17	0.00393	0.00378	0.001451	0.002108	7.39	0.030961	0.012182	0.005664	0.002858	0.00153	0.000795	11.4812	2.82E-03
748	2637.254	0.319	0.015	13.570	52.154	16.193	12.146	218.339	0.210	21.987	0.156	2.822	44.112	14.764	8.732	0.00229	7.86	6	0.00212	0.00204	0.000417	0.001263	2.07	0.044769	0.003406	0.000126	0.000078	0.000068	0.000062	6.9281	1.46E-03
749	4909.212	0.562	0.024	11.287	45.538	16.865	9.246	175.364	0.151	14.205	0.061	3.358	40.781	12.988	7.417	0.00429	7.80	11	0.00361	0.00355	0.000342	0.002046	4.39	0.04415	0.007013	0.002926	0.000845	0.00016	0.000057	9.3977	2.39E-03
750	3312.978	0.384	0.017	6.836	42.574	25.002	11.939	118.648	0.380	12.845	0.112	2.449	24.080	12.848	8.729	0.00453	5.55	6	0.00361	0.00318	0.000625	0.001871	5.65	0.029954	0.004908	0.002335	0.001032	0.000547	0.000232	5.77475	2.32E-03
751	6031.736	0.614	0.028	3.385	59.506	25.710	12.285	232.577	0.291	15.359	0.270	3.426	51.156	12.792	9.793	0.00228	4.80	17	0.00432	0.00369	0.002066	0.00164	9.4	0.027112	0.005886	0.00363	0.00238	0.001721	0.001278	10.89825	2.93E-03
752	6729.123	0.688	0.014	12.525	34.454	28.580	10.287	153.029	0.275	21.379	0.267	2.133	65.337	10.219	18.800	0.00062	0.00	0	0.00059	0.00056	3.20E-05	1.90E-05	0	0.000027	0.000018	0.000017	0.000016	0.000016	0.000015	0	3.02E-04
753	4021.590	0.492	0.012	8.842	33.883	1.700	21.236	171.385	0.397	13.554	0.343	4.887	31.165	10.181	7.816	0.00207	8.92	5	0.00432	0.00426	0.000416	0.004241	1.18	0.050835	0.021222	0.000053	0.000047	0.000043	0.000041	6.9622	3.31E-03
754	2933.745	0.455	0.017	8.424	44.971	12.062	20.772	170.189	0.421	11.627	0.343	3.517	38.715	10.137	8.933	0.00282	10.40	5	0.00391	0.00380	0.000703	0.002183	3.78	0.05661	0.006636	0.002275	0.000502	0.000085	0.000069	7.70115	2.65E-03
755	7899.005	0.813	0.026	8.917	54.422	26.963	17.253	117.942	0.277	11.604	0.181	2.657	29.573	13.930	23.430	0.00621	1.24	3	0.00383	0.00312	0.000708	0.000229	5.74	0.008127	0.002507	0.001613	0.001052	0.000611	0.000299	2.1212	1.97E-03
756	8812.873	1.121	0.027	14.361	47.934	14.184	12.314	188.123	0.345	21.888	0.337	3.713	60.017	11.018	19.923	0.00140	2.86	2	0.00127	0.00124	0.000107	0.000481	0.64	0.020642	0.000053	0.000041	0.000036	0.000033	0.000031	2.431	7.76E-04
757	8607.071	0.900	0.019	7.493	43.094	21.679	28.921	128.452	0.437	19.449	0.019	2.509	62.760	14.056	19.945	0.00071	4.21	3	0.00227	0.00224	0.000226	0.000975	2.48	0.021319	0.001921	0.000429	0.000054	0.000043	0.000039	3.60475	1.43E-03
758	1693.344	0.208	0.005	9.656	59.818	5.332	17.613	108.689	0.284	18.381	0.297	3.402	61.849	11.770	4.794	0.00186	6.49	7	0.00215	0.00198	0.000613	0.000939	2.26	0.032004	0.002731	0.000144	0.000074	0.000065	0.00006	6.74365	1.42E-03
759	7119.346	0.831	0.023	5.904	42.051	29.117	10.000	114.163	0.258	14.091	0.328	2.637	35.391	10.858	15.975	0.00232	7.94	3	0.00236	0.00231	0.000234	0.001522	3.6	0.044716	0.00291	0.001107	0.000395	0.000103	0.000046	5.46785	1.61E-03
760	1327.707	0.265	0.010	10.260	48.470	10.965	14.952	196.993	0.280	13.838	0.263	2.087	22.134	11.873	2.377	0.00323	5.75	5	0.00222	0.00207	0.000553	0.000992	2.27	0.03206	0.004909	0.000427	0.000089	0.000075	0.000068	5.37355	1.46E-03
761	4306.284	0.624	0.022	7.446	47.666	3.049	21.565	204.993	0.374	14.452	0.154	2.313	29.545	16.838	13.965	0.00464	15.78	6	0.00483	0.00464	0.000664	0.002651	3.37	0.078012	0.006384	0.001372	0.00017	0.000098	0.000084	10.889	3.20E-03
762	3056.316	0.400	0.011	14.649	34.101	3.945	6.900	168.325	0.466	22.696	0.265	4.160	45.812	12.892	6.592	0.00232	8.54	4	0.00168	0.00163	0.00026	0.001995	2.65	0.046286	0.003782	0.000544	0.000058	0.000048	0.000043	6.26835	1.39E-03
763	2771.004	0.406	0.016	7.648	34.865	24.044	11.438	112.714	0.247	21.536	0.335	3.507	47.954	15.360	4.343	0.00256	3.18	4	0.00291	0.00281	0.000404	0.001249	2.74	0.017717	0.002478	0.000498	0.000083	0.000067	0.00006	3.5924	1.84E-03
764	3529.849	0.455	0.015	14.421	56.914	23.921	20.011	148.571	0.254	15.195	0.066	4.635	36.487	10.890	7.534	0.00378	4.82	2	0.00277	0.00261	0.000205	0.000651	1.92	0.028303	0.001286	0.000107	0.000069	0.00006	0.000054	3.41175	1.56E-03
765	3296.240	0.603	0.026	13.233	45.568	12.652	27.052	216.729	0.173	19.479	0.172	3.770	32.215	12.314	5.478	0.00174	5.04	1	0.00238	0.00233	6.80E-05	0.000873	0.69	0.028207	0.000079	0.000068	0.000061	0.000056	0.000051	3.0206	1.41E-03
766	5682.168	0.659	0.024	4.068	35.466	27.517	30.334	210.972	0.440	18.816	0.128	2.878	62.675	15.755	12.140	0.00050	5.55	6	0.00376	0.00369	0.000467	0.001228	4.52	0.031907	0.004546	0.00157	0.000612	0.000254	0.000108	5.77275	2.29E-03
767	3055.264	0.522	0.018	14.558	43.809	10.450	32.415	136.992	0.309	19.411	0.218	2.102	48.818	16.945	8.810	0.00069	4.75	2	0.00234	0.00223	0.000111	0.000842	0.76	0.025525	0.000092	0.00008	0.000074	0.000068	0.000063	3.3768	1.38E-03
768	3749.753	0.485	0.011	8.337	52.999	7.278	40.629	117.681	0.488	22.393	0.329	2.294	75.045	15.473	6.114	0.00030	4.07	4	0.00204	0.00200	0.000341	0.001029	2.14	0.023317	0.002511	0.000138	0.000066	0.000059	0.000054	4.03545	1.35E-03
769	2879.005	0.291	0.012	5.404	46.158	24.946	9.884	247.445	0.282	13.596	0.135	2.369	26.364	12.882	5.116	0.00346	5.61	14	0.00363	0.00341	0.001374	0.001774	9	0.026328	0.009885	0.006146	0.003639	0.002456	0.001602	9.80685	2.55E-03
770	6811.419	0.785	0.021	5.824	39.720	19.353	25.011	203.988	0.318	12.464	0.236	4.177	27.196	11.111	18.467	0.00228	9.68	6	0.00541	0.00531	0.00099	0.002357	8.12	0.03883	0.011642	0.004795	0.002706	0.001706	0.001109	7.84065	3.52E-03
771	6766.298	0.701	0.018	5.047	53.576	17.619	10.428	111.468	0.445	17.060	0.196	2.896	33.200	15.470	15.085	0.00358	6.09	19	0.00412	0.00404	0.001455	0.002203	8.14	0.030568	0.008763	0.005121	0.003103	0.001899	0.001145	12.5467	2.96E-03
772	5371.195	0.734	0.023	5.846	37.337	2.260	12.088	139.922	0.304	22.335	0.064	3.717	45.121	15.245	10.667	0.00253	11.24	6	0.00303	0.00301	0.000431	0.002447	1.09	0.063832	0.012924	0.000069	0.00006	0.000053	0.000047	8.6199	2.23E-03
773	8122.481	1.015	0.028	6.090	43.796	14.079	39.990	197.211	0.125	18.479	0.186	2.137	39.284	15.220	15.417	0.00010	2.89	5	0.00202	0.00196	0.000232	0.000672	3.11	0.017944	0.003149	0.000747	0.000128	0.000066	0.000059	3.94415	1.22E-03
774	3316.678	0.469	0.022	5.893	34.794	20.586	23.516	242.539	0.303	20.250	0.221	4.372	33.284	11.774	6.349	0.00157	0.00	0	0.00261	0.00250	0.000126	0.000107	0.02	0.000145	0.000096	0.000089	0.000084	0.000078	0.000073	0	1.34E-03
775	3946.935	0.742	0.029	12.740	56.240	4.163	40.888	249.448	0.338	17.581	0.346	3.436	35.072	14.722	9.419	0.00083	12.68	4	0.00333	0.00314	0.000509	0.002183	2.61	0.071733	0.005319	0.000616	0.000081	0.000065	0.000059	8.33865	2.29E-03
776	6698.714	0.711	0.019	12.190	46.478	15.047	8.085	231.971	0.142	15.876	0.339	2.213	56.190	14.383	19.120	0.00254	6.69	4	0.00230	0.00224	0.000261	0.001239	2.83	0.037883	0.003273	0.000642	0.000065	0.000049	0.000043	5.3427	1.51E-03
777	7602.584	0.877	0.018	10.868	33.433	3.056	21.501	130.923	0.488	19.755	0.140	2.264	50.031	12.483	16.240	0.00073	0.00	0	0.00153	0.00151	2.50E-05	2.50E-05	0	0.000034	0.000021	0.000019	0.000018	0.000016	0.000015	0	7.74E-04
778	3927.208	0.671	0.029	13.627	41.504	1.765	19.319	210.672	0.216	21.127	0.340	4.924	48.361	10.958	7.059	0.00166	0.00	0	0.00210	0.00209	3.90E-05	6.60E-05	0	0.000066	0.000059	0.000054	0.000051	0.000048	0.000046	0	1.07E-03
779	5389.154	0.675	0.018	11.627	54.801	27.789	20.607	247.943	0.103	16.208	0.084	2.804	35.775	14.251	11.850	0.00350	0.00	0	0.00285	0.00250	0.000358	7.10E-05	2.11	0.004925	0.000889	0.000188	0.000064	0.000057	0.000053	0	1.44E-03
780	3762.501	0.708	0.023	11.562	58.038	14.972	11.411	232.899	0.258	17.699	0.242	3.458	34.884	11.526	9.096	0.00262	10.80	6	0.00224	0.00220	0.000638	0.002502	2.48	0.06789	0.004744	0.000682	0.000094	0.000081	0.000073	8.39895	1.89E-03
781	5791.945	0.751	0.024	4.125	40.496	24.588	36.333	157.569	0.335	13.180	0.198	2.506	25.721	12.729	9.890	0.00005	7.70	2	0.00267	0.00248	0.000468	0.001507	3.28	0.0387	0.002755	0.001058	0.000282	0.000096	0.000085	4.85195	1.78E-03
782	4281.192	0.606	0.023	6.292	55.368	2.095	25.221	188.882	0.206	18.161	0.014	4.959	33.239	13.146	13.511	0.00398	10.25	7	0.00417	0.00407	0.000807	0.002885	1.34	0.058132	0.017303	0.000098	0.000085	0.000076	0.000069	8.62265	2.98E-03
783	4809.701	0.727	0.022	3.369	48.622	26.360	28.276	161.472	0.156	14.550	0.009	4.520	42.377	11.298	15.848	0.00190	9.44	5	0.00473	0.00436	0.001377	0.001579	4.65	0.036004	0.004051	0.001848	0.000926	0.000372	0.000104	7.22235	3.01E-03
784	2144.117	0.351	0.014	9.051	37.781	18.828	32.226	202.273	0.280	19.400	0.110	2.714	37.334	12.175	3.097	0.00039	2.99	2	0.00186	0.00177	0.000229	0.000643	1.32	0.017999	0.000988	0.000051	0.000045	0.000041	0.000039	2.49685	1.12E-03
785	3480.434	0.402	0.009	10.902	51.294	21.847	33.600	135.879	0.259	12.678	0.161	2.848	42.534	12.471	8.435	0.00127	9.00	4	0.00312	0.00300	0.000466	0.001433	4.84	0.051932	0.007972	0.002781	0.001036	0.000344	0.000079	6.50115	2.01E-03
786	4291.237	0.465	0.021	3.968	39.913	7.077	24.740	163.430	0.241	14.972	0.305	3.633	59.335	13.138	11.403	0.00147	5.80	6	0.00492	0.00490	0.000457	0.00115	3.31	0.030938	0.007288	0.001706	0.000145	0.000076	0.000065	5.8977	2.86E-03
787	5882.628	0.829	0.026	6.624	49.655	16.552	12.190	152.865	0.236	17.244	0.305	3.156	38.387	11.962	14.628	0.00237	3.32	8	0.00243	0.00238	0.000485	0.001041	2.89	0.020032	0.002433	0.000704	0.000116	0.000054	0.000046	5.65955	1.58E-03
788	7101.991	0.906	0.021	7.689	44.712	26.966	5.577	132.288	0.230	19.752	0.172	4.084	45.293	11.463	15.709	0.00207	6.58	4	0.00202	0.00166	0.000609	0.001227	5.39	0.028263	0.003633	0.00203	0.0012	0.000669	0.000252	5.29035	1.38E-03
789	2626.012	0.498	0.023	3.516	44.866	8.587	23.779	134.268	0.469	15.083	0.238	2.884	31.632	15.635	4.321	0.00347	4.96	13	0.00565	0.00549	0.001352	0.001504	3.94	0.028215	0.007355	0.003017	0.000744	0.00014	0.000108	8.97755	3.50E-03
790	3696.305	0.568	0.023	4.991	46.895	14.953	12.874	171.211	0.196	19.659	0.086	3.154	75.547	13.577	11.193	0.00151	2.75	6	0.00270	0.00259	0.000697	0.001325	2.91	0.015682	0.004169	0.000951	0.000152	0.000079	0.000069	4.37375	1.83E-03
791	6567.122	0.851	0.023	7.572	52.922	13.762	31.093	233.074	0.486	16.495	0.301	3.176	43.986	13.304	10.530	0.00154	8.67	6	0.00360	0.00349	0.000777	0.001925	5.21	0.047314	0.007775	0.002854	0.001264	0.000482	0.000132	7.3331	2.45E-03
792	5074.396	0.568	0.021	5.347	47.237	20.556	37.740	219.746	0.275	17.691	0.346	3.179	35.615	12.761	7.275	0.00038	9.03	2	0.00286	0.00271	0.000586	0.001515	3.02	0.057786	0.002637	0.00067	0.000116	0.000096	0.000089	5.51555	1.92E-03
793	2704.709	0.368	0.013	5.208	52.796	20.712	26.083	123.745	0.322	15.577	0.058	3.729	38.908	12.597	6.300	0.00274	8.62	6	0.00411	0.00387	0.001147	0.001827	5.08	0.044994	0.005412	0.002317	0.001157	0.00045	0.000152	7.30945	2.74E-03
794	4309.674	0.448	0.011	7.167	59.629	4.116	5.810	196.948	0.400	7.801	0.320	2.513	19.750	11.355	14.334	0.00865	20.97	21	0.00543	0.00415	0.004051	0.004969	11.84	0.108204	0.018437	0.011275	0.007515	0.005429	0.003785	20.986	4.65E-03
795	6844.448	0.987	0.029	4.097	38.226	9.770	16.439	229.643	0.185	14.342	0.193	4.102	47.070	11.463	10.971	0.00269	3.75	7	0.00419	0.00412	0.000807	0.001032	2.96	0.019218	0.003284	0.000757	0.00009	0.000065	0.000058	5.37395	2.54E-03
796	2005.256	0.312	0.015	3.674	49.996	15.212	14.534	249.597	0.260	9.272	0.310	2.534	26.664	13.083	4.358	0.00654	12.62	29	0.00842	0.00829	0.00541	0.00468	12.36	0.07736	0.024506	0.011822	0.006687	0.004778	0.003277	20.80765	6.70E-03
797	2989.628	0.358	0.016	3.471	52.445	17.014	31.829	201.088	0.160	19.783	0.037	3.845	66.091	12.683	4.960	0.00095	2.42	7	0.00289	0.00284	0.000498	0.000659	2.76	0.013131	0.002128	0.000449	0.000089	0.000076	0.000066	4.70925	1.72E-03
798	1417.902	0.245	0.008	11.151	58.530	12.384	18.908	178.247	0.158	13.442	0.014	3.151	44.565	13.092	3.553	0.00427	13.96	10	0.00392	0.00375	0.001329	0.002393	5.05	0.077325	0.01168	0.004987	0.001997	0.000699	0.000134	11.98	2.85E-03
799	1856.283	0.266	0.007	11.137	58.174	1.373	22.411	174.201	0.419	12.041	0.137	3.025	21.268	13.471	4.919	0.00728	21.07	14	0.00494	0.00465	0.001707	0.005683	2.34	0.120006	0.057828	0.016439	0.000062	0.00006	0.000058	17.53305	4.25E-03
800	7209.041	0.797	0.021	9.211	57.809	22.829	14.012	124.778	0.228	18.257	0.091	3.738	67.569	11.317	21.404	0.00183	5.83	4	0.00205	0.00202	0.000281	0.000897	1.48	0.033285	0.000965	0.000051	0.000042	0.000038	0.000036	4.9172	1.31E-03
801	7687.108	0.909	0.026	9.621	52.669	29.164	24.072	223.819	0.253	19.954	0.038	2.741	37.228	15.522	25.126	0.00252	0.00	0	0.00250	0.00231	0.000198	6.70E-05	0.84	0.001393	0.0001	0.000057	0.000052	0.000047	0.000043	0	1.27E-03
802	2827.684	0.471	0.021	5.044	59.450	5.738	27.998	194.709	0.229	11.227	0.048	3.547	28.650	11.324	5.167	0.00456	13.98	10	0.00545	0.00529	0.001398	0.001864	4.35	0.111234	0.00793	0.002738	0.001081	0.000226	0.000096	11.98935	3.50E-03
803	8655.645	0.956	0.020	6.481	52.432	0.135	16.989	172.868	0.172	19.497	0.240	2.450	44.291	14.408	28.290	0.00198	7.37	4	0.00208	0.00204	0.000239	0.001175	0.5	0.034346	0.000061	0.000053	0.000049	0.000045	0.000042	5.6872	1.38E-03
804	6285.355	0.693	0.025	10.628	41.736	4.043	36.145	200.854	0.370	14.029	0.167	3.134	26.919	14.404	9.862	0.00103	9.23	3	0.00270	0.00263	0.000513	0.001704	3.26	0.050834	0.00424	0.001001	0.000104	0.000046	0.000041	6.1174	1.89E-03
805	4311.904	0.636	0.017	11.797	46.094	8.970	8.167	117.876	0.403	16.892	0.019	3.335	42.888	14.635	7.528	0.00403	15.66	6	0.00360	0.00354	0.000685	0.0035	3.71	0.064449	0.006372	0.001865	0.000359	0.000077	0.000065	10.8289	2.83E-03
806	4581.779	0.719	0.024	8.946	49.187	4.209	16.362	116.699	0.243	17.616	0.134	3.939	40.589	12.099	8.453	0.00293	5.50	3	0.00271	0.00268	0.000193	0.000942	0.85	0.031088	0.000082	0.000066	0.000053	0.000046	0.000041	4.2483	1.63E-03
807	6665.787	0.808	0.018	5.867	39.854	2.415	22.673	212.599	0.488	12.318	0.286	2.766	23.325	11.616	12.642	0.00259	24.94	3	0.00422	0.00417	0.000927	0.005023	0.46	0.141057	0.000097	0.000082	0.000071	0.000064	0.000058	13.96895	3.59E-03
808	3928.951	0.397	0.017	11.140	59.926	18.097	14.315	157.184	0.229	16.616	0.347	3.466	38.441	11.211	12.033	0.00263	7.85	9	0.00212	0.00205	0.000551	0.001334	2.71	0.046888	0.00376	0.000484	0.000056	0.000046	0.000041	8.4234	1.51E-03
809	1809.454	0.417	0.020	10.111	51.112	24.542	31.947	169.164	0.344	19.660	0.243	4.468	43.897	12.462	3.335	0.00140	11.88	3	0.00313	0.00307	0.000608	0.002715	2.1	0.061962	0.003753	0.000319	0.000095	0.000081	0.000075	7.4398	2.38E-03
810	2252.789	0.326	0.012	6.030	40.435	22.672	25.385	126.274	0.461	19.808	0.147	2.986	76.609	15.281	6.318	0.00106	4.09	2	0.00322	0.00301	0.000362	0.000869	2.67	0.02337	0.002163	0.00039	0.0001	0.000082	0.000074	3.04675	1.86E-03
811	5263.078	0.627	0.027	8.025	56.918	21.924	28.754	249.031	0.184	18.205	0.101	2.339	55.580	16.117	17.515	0.00177	12.20	1	0.00295	0.00280	0.000703	0.001727	2.8	0.06785	0.002538	0.000447	0.000088	0.000069	0.000063	6.59945	2.05E-03
812	2753.806	0.545	0.020	5.710	38.917	27.538	34.704	108.415	0.396	15.754	0.125	2.693	41.564	12.633	4.138	0.00030	7.53	1	0.00271	0.00253	0.00054	0.001642	2.81	0.042142	0.00372	0.000732	0.000209	0.000127	0.000119	4.26615	1.85E-03
813	1900.197	0.237	0.012	11.546	59.912	16.128	23.936	146.726	0.151	13.482	0.163	2.997	47.363	14.012	3.127	0.00404	10.13	9	0.00415	0.00402	0.000569	0.002145	5	0.04321	0.009051	0.003902	0.001575	0.000437	0.000097	9.56675	2.72E-03
814	4171.583	0.427	0.018	10.035	45.952	0.585	14.928	123.540	0.389	18.574	0.299	2.586	32.453	15.616	7.122	0.00343	9.72	5	0.00285	0.00284	0.000422	0.001952	0.97	0.05589	0.000075	0.000057	0.000048	0.000041	0.000039	7.3577	2.02E-03
815	2903.043	0.614	0.028	7.684	46.055	18.950	13.718	132.375	0.158	18.960	0.296	3.376	43.398	14.773	8.279	0.00314	8.75	2	0.00341	0.00336	0.000548	0.00159	1.34	0.049057	0.000714	0.000117	0.000103	0.000094	0.000087	5.37585	2.22E-03
816	8400.059	1.033	0.023	4.181	59.580	20.953	31.487	242.064	0.120	18.362	0.268	2.340	36.317	16.210	22.172	0.00210	8.16	2	0.00319	0.00290	0.000857	0.001104	3.87	0.045712	0.002537	0.001188	0.000557	0.000144	0.000085	5.07925	2.01E-03
817	4234.995	0.506	0.017	11.831	42.409	8.702	26.241	163.156	0.127	19.593	0.118	2.527	42.764	16.942	6.869	0.00165	3.54	1	0.00299	0.00296	4.40E-05	0.000677	0.68	0.021774	0.000051	0.000044	0.000041	0.000038	0.000036	2.2695	1.67E-03
818	4052.217	0.474	0.023	11.655	44.667	18.385	39.363	195.786	0.220	20.363	0.071	3.255	47.559	15.633	6.158	0.00058	10.52	4	0.00270	0.00259	0.000379	0.001811	2.69	0.053622	0.003396	0.00062	0.000079	0.000064	0.000057	7.259	1.87E-03
819	3823.677	0.389	0.008	8.830	42.277	19.035	24.170	113.107	0.288	19.073	0.332	3.070	69.582	11.079	10.240	0.00075	0.00	0	0.00166	0.00164	6.70E-05	6.80E-05	0	0.000076	0.000063	0.000059	0.000055	0.000051	0.000047	0	8.59E-04
820	2432.696	0.456	0.015	5.201	55.834	16.958	35.742	187.500	0.106	15.021	0.266	2.684	44.740	16.094	5.360	0.00129	6.42	16	0.00554	0.00550	0.000861	0.001529	5.2	0.032832	0.00797	0.003651	0.001898	0.000877	0.000225	11.21005	3.36E-03
821	2923.483	0.386	0.013	9.671	42.535	20.483	28.915	192.184	0.376	13.930	0.067	3.506	49.572	11.742	7.154	0.00123	12.32	3	0.00401	0.00376	0.000569	0.002248	7.12	0.094372	0.007906	0.004381	0.002544	0.001594	0.000843	7.65835	2.65E-03
822	2319.052	0.298	0.013	5.993	57.138	28.688	18.769	193.320	0.273	15.068	0.310	2.416	24.904	13.199	5.760	0.00356	9.05	10	0.00318	0.00286	0.001298	0.001605	6.57	0.056616	0.007273	0.003354	0.001684	0.000904	0.000465	9.52725	2.24E-03
823	7770.520	0.832	0.029	8.326	50.279	23.536	29.674	155.464	0.285	15.106	0.208	3.526	27.548	14.205	14.933	0.00301	20.82	4	0.00470	0.00447	0.0008	0.00361	5.68	0.103344	0.007029	0.002761	0.00129	0.000639	0.000214	12.40865	3.39E-03
824	5487.141	0.824	0.024	11.760	54.768	26.950	34.546	198.946	0.222	19.333	0.296	4.767	35.519	12.685	9.719	0.00170	2.69	1	0.00325	0.00264	0.000623	0.0004	4.83	0.030971	0.005822	0.002504	0.001116	0.000516	0.000156	1.84645	1.73E-03
825	7382.635	0.744	0.016	11.513	45.098	26.898	26.243	244.483	0.361	18.609	0.309	3.048	49.363	11.135	14.771	0.00090	0.00	0	0.00173	0.00166	9.20E-05	6.10E-05	0.79	0.001474	0.000062	0.000054	0.00005	0.000047	0.000044	0	8.84E-04
826	3076.715	0.533	0.023	4.989	47.563	6.609	18.602	224.721	0.115	17.991	0.056	3.871	43.417	14.024	4.914	0.00307	6.69	7	0.00406	0.00393	0.001115	0.001349	2.89	0.037846	0.005397	0.001469	0.000142	0.000102	0.000087	6.8427	2.61E-03
827	2501.285	0.265	0.011	10.261	51.017	12.847	31.221	213.279	0.196	17.231	0.263	3.038	37.484	11.064	5.910	0.00098	4.93	3	0.00210	0.00205	0.000388	0.001182	2.35	0.027645	0.002445	0.000209	0.000054	0.000048	0.000046	3.9638	1.43E-03
828	1726.857	0.384	0.016	5.262	39.261	27.536	15.033	235.980	0.403	14.754	0.244	4.163	23.978	12.681	2.781	0.00559	7.86	8	0.00555	0.00498	0.001287	0.002121	7.17	0.042077	0.008903	0.004368	0.002985	0.00209	0.001256	7.92905	3.49E-03
829	5067.853	0.708	0.022	6.157	46.321	5.101	11.816	178.359	0.466	14.847	0.348	2.981	52.105	12.684	10.936	0.00269	6.65	11	0.00358	0.00338	0.001308	0.002794	4.95	0.054948	0.00646	0.002966	0.00143	0.000469	0.000115	8.825	2.77E-03
830	6083.439	0.863	0.027	9.902	59.171	14.569	7.555	206.221	0.280	15.984	0.028	3.018	32.970	12.987	9.761	0.00344	10.97	12	0.00297	0.00294	0.001103	0.002626	5.11	0.053356	0.007304	0.003023	0.001304	0.000505	0.000096	11.48725	2.41E-03
831	7195.514	0.798	0.022	3.250	42.118	25.079	18.167	158.150	0.455	15.762	0.334	2.369	40.772	15.610	12.796	0.00261	2.57	7	0.00428	0.00355	0.000883	0.000771	8.91	0.012516	0.004599	0.003457	0.002343	0.001867	0.001296	4.78465	2.37E-03
832	6548.298	0.776	0.022	7.200	45.970	0.401	8.119	132.563	0.338	16.413	0.191	4.655	37.512	12.266	19.553	0.00401	11.58	14	0.00420	0.00418	0.001039	0.005406	3.56	0.066094	0.039178	0.016389	0.002515	0.000054	0.000046	12.7912	3.71E-03
833	7147.382	0.820	0.029	7.612	54.860	3.820	11.190	161.397	0.100	20.236	0.274	4.661	53.363	14.335	12.834	0.00325	8.79	9	0.00392	0.00390	0.000755	0.001526	3	0.065666	0.005934	0.001108	0.000083	0.000053	0.000047	8.8968	2.53E-03
834	1808.718	0.236	0.009	3.988	45.424	13.684	16.905	156.914	0.399	20.257	0.277	2.818	77.138	13.182	3.164	0.00106	2.39	6	0.00223	0.00216	0.000683	0.000616	2.02	0.01342	0.00163	0.000125	0.000105	0.000095	0.000088	4.19645	1.42E-03
835	4748.394	0.507	0.015	11.223	46.903	23.404	13.048	207.580	0.469	19.427	0.091	3.313	63.972	13.297	9.276	0.00208	9.91	7	0.00271	0.00265	0.000391	0.002025	4.49	0.054812	0.00679	0.002741	0.000855	0.000216	0.00006	8.4546	1.94E-03
836	7379.955	0.871	0.023	11.967	40.471	0.302	33.512	237.453	0.311	19.287	0.342	2.428	33.687	12.969	15.780	0.00043	0.00	0	0.00146	0.00142	6.60E-05	9.30E-05	0	0.000096	0.000086	0.00008	0.000076	0.000072	0.000069	0	7.59E-04
837	1018.952	0.204	0.010	10.217	39.363	27.000	21.792	209.079	0.404	10.308	0.169	3.175	37.190	11.087	1.882	0.00224	45.62	1	0.00599	0.00559	0.00127	0.009167	6.3	0.242668	0.01589	0.008062	0.004209	0.002179	0.000849	23.3111	5.50E-03
838	4388.974	0.501	0.017	6.086	58.244	22.416	8.721	164.055	0.161	19.306	0.085	2.785	61.462	11.297	11.325	0.00108	4.26	8	0.00165	0.00160	0.000751	0.001025	3.05	0.023599	0.002368	0.00057	0.000111	0.000046	0.000038	6.13115	1.26E-03
