Tot No. Simulations	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	LTSM	Crack Width	C. Numbers	Max Slope	Max Tilt	Ang. Dis.	Max H. Strain	Dam. Area (%)	Strain (100%)	Strain (99%)	Strain (98%)	Strain (97%)	Strain (96%)	Strain (95%)	Local Avg.	Global Avg.
293	1876.900	0.197	0.006	9.532	51.857	18.712	2.075	161.013	0.480	39.979	0.105	4.743	67.513	5.070	4.551	0.00015	0.00	0	0.00011	0.00011	1.40E-05	3.50E-05	0	0.000064	0.000042	0.000038	0.000037	0.000035	0.000033	0	6.50E-05
294	1685.071	0.304	0.013	12.825	47.656	29.466	7.398	241.389	0.358	24.579	0.273	1.455	72.769	9.445	3.687	0.00031	0.00	0	0.00037	0.00029	0.0001	7.80E-05	0	0.000116	0.000086	0.000077	0.000072	0.000069	0.000065	0	2.09E-04
295	6136.753	0.701	0.015	12.720	10.525	26.236	14.801	159.906	0.147	14.495	0.267	0.458	24.981	6.209	12.278	0.00004	0.00	0	0.00016	0.00016	1.10E-05	6.00E-06	0	0.000021	0.000015	0.000014	0.000014	0.000013	0.000013	0	8.42E-05
296	4332.941	0.547	0.016	6.702	45.201	22.482	11.338	96.178	0.129	38.070	0.006	1.898	86.781	6.672	9.397	0.00008	0.00	0	0.00008	0.00008	8.00E-06	1.20E-05	0	0.000019	0.000014	0.000012	0.000012	0.000011	0.000011	0	4.55E-05
297	4120.822	0.486	0.013	17.927	15.307	26.752	35.682	21.145	0.145	15.531	0.099	1.704	54.824	16.638	8.896	0.00009	0.00	0	0.00111	0.00109	2.90E-05	1.40E-05	0	0.000045	0.000032	0.00003	0.000029	0.000028	0.000027	0	5.60E-04
298	7292.719	1.014	0.029	12.178	56.974	18.181	21.228	49.509	0.474	26.270	0.377	4.830	55.426	7.730	11.176	0.00064	0.00	0	0.00070	0.00069	5.30E-05	5.90E-05	0	0.000073	0.000055	0.00005	0.000046	0.000042	0.00004	0	3.74E-04
299	3501.551	0.442	0.020	10.965	36.604	9.324	14.775	249.619	0.281	11.910	0.454	1.633	32.545	9.932	10.257	0.00147	0.00	0	0.00149	0.00143	6.10E-05	4.60E-05	0	0.000055	0.000039	0.000036	0.000034	0.000032	0.00003	0	7.56E-04
300	3966.345	0.405	0.013	3.680	43.068	28.489	8.725	65.788	0.260	10.041	0.097	4.651	36.028	8.139	7.123	0.00344	6.63	14	0.00443	0.00392	0.001651	0.002009	9.36	0.038393	0.005959	0.003157	0.002242	0.001636	0.0012	10.317	3.00E-03
301	2481.206	0.514	0.022	18.730	51.117	19.870	25.240	113.114	0.450	11.403	0.155	1.931	29.556	13.262	4.137	0.00249	16.58	3	0.00323	0.00312	0.00052	0.003274	3.73	0.132635	0.009292	0.002957	0.000674	0.000131	0.000105	9.78995	2.54E-03
302	7785.695	0.894	0.022	15.251	17.490	27.724	16.049	113.989	0.174	25.655	0.431	2.212	68.169	5.994	17.828	0.00009	0.00	0	0.00019	0.00019	1.00E-05	6.00E-06	0	0.000021	0.000014	0.000013	0.000012	0.000012	0.000012	0	9.88E-05
303	7699.545	0.895	0.028	19.462	34.368	24.664	14.569	139.870	0.283	18.022	0.283	1.083	68.000	9.852	17.802	0.00029	0.00	0	0.00049	0.00049	6.00E-06	9.00E-06	0	0.000027	0.000016	0.000015	0.000014	0.000014	0.000014	0	2.49E-04
304	4187.213	0.472	0.019	15.217	57.682	0.334	13.814	59.348	0.192	11.035	0.230	2.197	20.299	5.114	9.718	0.00087	0.00	0	0.00033	0.00033	1.00E-05	2.80E-05	0	0.000028	0.000025	0.000024	0.000022	0.000021	0.00002	0	1.75E-04
